0,1,2,3,4,5,6,7,,,,
74446160.07,84688447.16,74037601.91,68350464.77,58283519.72,53595476.88,52907408.08,3,,,,
82251573.46,84493005.18,79321869.4,72695827.96,66540117.42,61840377.23,61797060.37,3,,,,
88804035.17,76160942.24,63045332.35,57923992.08,54655562.12,51321946.68,51374633.39,4,,,,
83753193.07,77319564.53,68117859.7,65350759.57,61751590,64622889.65,61856513.64,4,,,1,
174236399.5,244628330.8,156832199.8,111729440.8,73578988.35,59799665.49,53357211.05,2,,4,0,2
185880960.4,241327378.7,165909331.2,103769343.3,77583156.5,67079875.58,63359000.43,2,,,3,
207889457.1,236163708.6,160044001.8,92970576.67,66919059.76,58092900.8,52895548.22,1,,,,
194237112,230466476.3,139898576,87046936.33,72198428.22,65499491.23,65016559.55,1,,,,
128873054.5,172611993.9,117532125.4,98804546.03,80001066.92,71296006.02,66685130.36,3,,,,
139017040.2,171382718.8,114147008.9,97881256.01,79380532.65,73516610.46,68677185.31,3,,,,
195870613.1,245374728.7,146635183.8,120495056.5,87712715.4,73359175.42,64163980.7,4,,,,
167126912.1,215067543.9,135250107.9,100364175.5,81118004.33,69162997.98,66242159.99,4,,,,
424272773.2,744938600.1,565817987.5,382780152.9,235034263.9,169051704.5,122183834.2,2,,,,
351826967.6,645873310.9,467003558.2,307359604.7,207272841.5,146846517.9,110371836.6,2,,,,
204635679.4,334418992.7,178206496.8,128224763.3,102239832,83179331.31,71214356.41,1,,,,
189975158.9,269501577.8,148810959.5,114321150.4,90681078.09,72505620.27,66527134.34,1,,,,
176886315.4,249840127.6,159494100.1,128353633.6,102841346.2,86476540.84,78406851.18,3,,,,
180810133.8,248973681.9,161424117.4,134673201.3,109717364.1,85051414.39,75383016.21,3,,,,
165900504.1,142388709,105039824.5,97343201.66,87734927.81,76782639.49,73880762.36,4,,,,
157870760.4,147234619.5,112894801.3,97974683.01,87843946.47,81409029.2,75107584.32,4,,,,
242616466.8,338270143.4,229148938.5,167258648.9,132630083.5,101910867.4,83828306.23,2,,,,
340786882.5,506610854.2,428276611.7,266718772.1,182903245.2,133684648,103782821.2,2,,,,
245334059.8,424358261.6,322831988.6,203236258.7,155794896.1,113357161.9,91565313.15,1,,,,
173839249,287824166.1,189131980.8,140497917.5,114584247.1,93664222.26,80970567.45,1,,,,
154882236.5,280921312.2,236498326.8,147841728.6,123312575,91291641.85,70231582.12,3,,,,
128664214,202725090.6,132240746.6,92683547.79,69131788.31,57963944.49,52734738.15,3,,,,
111367803.9,164175728.8,102034907.2,84201234.68,63671322.42,54104494.75,47218669.59,4,,,,
103665095.2,149027372.7,100356917.7,88760034.3,68462869.81,56399629.14,50563278.41,4,,,,
261858029,417241701,343877733.9,227768496.6,153959502.7,114355372.1,81277236.23,2,,,,
231665651.9,509637627.6,424383745,344080456,212938601.4,131957854.1,105692509.5,2,,,,
216810268.7,437866864.5,408980349.8,292190907,183993985.4,133879690.1,99937094.03,1,,,,
180828028.5,329086478.8,278850171.1,192937388.8,116454702.1,86844998.05,75436800.65,1,,,,
111009377.1,90834215.45,74211937.29,68799112.55,67307789.75,66128905.05,66170962.1,3,,,,
96921722.28,82780839.13,69885659.51,66877568.72,63724819.12,62397210.33,64025034.94,3,,,,
121139041.3,92102444.63,70703081.74,67644540.61,65193864.43,63407551.52,64656217.49,4,,,,
148739158.1,123644218.7,74866634.86,65317514.32,60434973.88,57645713.42,57355920.11,4,,,,
267205578.8,318613267,154473639.6,141288487.4,104917594,79927195.33,69731756.84,2,,,,
193739127.9,282186628.6,175179522.3,117249270.3,97681884.06,79587997.93,69456169.6,,,,,
193739127.9,282186628.6,175179522.3,117249270.3,97681884.06,79587997.93,69456169.6,2,,,,
207241905.6,198934072.7,97211509.38,86844052.88,75555558.84,68685024.96,64415904.62,1,,,,
183748876.7,225339003.8,107538383.4,102589169.9,75417060.74,62161899.47,60979230.21,1,,,,
109433118.6,172377934.2,142246705.5,103427978,85643342.88,77090043.52,67452275.58,3,,,,
100208754.7,144540360.1,115429565.1,86436535.9,76206176.41,68104116.01,64320166.81,3,,,,
131379679.7,163482460.9,122452981.1,88599256.22,80503297.21,74349139.63,66966694.4,4,,,,
125008924,167828067.5,117168500.7,85764310.19,76433152.75,70295205.23,64377196.4,4,,,,
153988477.5,281294300.3,216931107.5,155549761.6,115697556.6,88653558.79,76289827.97,2,,,,
127932870.7,218744765.7,172554998,127326756.8,99505644.65,81511438.91,69830514.64,2,,,,
98509445.03,146287629,118780192.2,87533075.81,77329612.72,71752106.14,66665826.1,1,,,,
91142421.8,124791361.3,105449873.2,78632906.05,75073877.01,70369244.53,66292849.51,1,,,,
78438481.35,77007702.85,71807643.18,69839935.31,68469159.1,66259119.32,69784217.46,3,,,,
80765475.2,83813740.1,76199585.14,75740131.03,74022367.96,71176216.74,73870603.3,3,,,,
90030450.46,88649628.46,77125280.05,75289932.53,74295445.94,73072951.35,73707303.86,4,,,,
85692797.26,86487641.61,73539096.86,74389966.46,71393783.46,70479344.06,68804846.99,4,,,,
136469451.1,202050494.4,158553557.5,102320895.3,87338101.41,80733644.05,79325335.73,2,,,,
109798247.4,136105645.2,97130517.67,77221115.94,72405107.18,69884515.74,66873314.77,2,,,,
91936719.41,93747182.39,79426291.11,76131060.68,76780376.78,77851344.36,74283098.61,1,,,,
80273467.03,80576691.4,67735528.87,66201720.98,64731310.62,66168134.31,63150573.01,1,,,,
127670796.8,209286576.4,170017783.3,113724379.3,93078989.89,78652616.84,66521244.76,3,,,,
135656497.9,237083383.4,171183519.5,121921092.2,98929243.37,77632306.33,67582746.86,3,,,,
118143591.6,166016795.4,121962753.3,95445562.02,83155169.03,73618607.9,67762987.02,4,,,,
105301860.8,143921270.3,99215500.35,82525343.47,73857548.32,67035878.24,62181413.98,4,,,,
162762376.1,391750736.2,425811942.9,356144635,249814877.2,150959514.8,110221828,2,,,,
182419740.4,414254467.3,464729199.5,392401941.8,264433587.1,155513110.3,120247043.5,2,,,,
117791171.9,182922497.1,130222489.4,93877724.48,82356242.27,70654464.33,65767638.53,1,,,,
114306276.1,173334983,122121746.8,94259441.41,79907975.86,65700446.34,62353383.95,1,,,,
169486668,244551313.8,158553512.9,114950206.6,84515966.37,71560617.69,64140760.11,3,,,,
177410911.9,252552739.9,170769271.9,109907275.1,84503482.58,70218166.99,62406802.01,3,,,,
159626585.4,173395431.9,99895801.4,81662502.76,69625666.38,63339593.39,60079257.21,4,,,,
159772501.8,177083787.5,98965341.06,79483642.35,66561145.62,59863724.59,55835738.38,4,,,,
260839529.3,459125318.6,321452181.6,194859681.4,156600099.9,108532598.2,83324671.17,2,,,,
259045822.7,504445546.6,318118343.6,204797519.7,162556474.5,104782760.5,84593468.99,2,,,,
189605288.1,278641442.3,163811815.2,114733346.8,85873475.43,69638559.02,62728614.36,1,,,,
194819115.5,284464584.8,160933962.6,107456079.4,80525990.83,65404137.25,58592343.89,1,,,,
117259072.5,89273491.36,63428269.78,57220000.58,52543921.18,51248373.11,49434215.76,3,,,,
124875530.9,79289854.47,58191387.27,54035321.61,50455808.96,50306937.54,48007273.07,3,,,,
158858270.5,73921790.27,58409275.78,54377437.79,51593147.84,49267395.25,47313007.24,4,,,,
105122539.5,81432787.7,61757605.52,53128606.21,50193047.83,49217241.62,47874283.98,4,,,,
172183853.5,128565206.8,95994240.43,78456075.47,69404114.66,58213563.07,51736742.52,2,,,,
195017615.6,159846875.3,114062076.6,88577804.45,70477552.61,58106572.72,54627244.33,2,,,,
202768897.3,125016573.6,70964037.76,61621992.62,55831026.92,52478055.61,52034041.13,1,,,,
160035177,105388185.3,59723249.82,54731910.57,50193306.03,49808683.63,49515618.4,1,,,,
131711347.6,80584161.77,61564410.19,58412875.46,54431367.64,54312467.68,54414738.78,3,,,,
220824543.5,126840855.5,63014097.63,54955443.45,49165166.24,47547992.7,45989575.08,3,,,,
162011232.3,132098366.7,66138766.13,56436826.52,51042529.72,49050824.98,48343142.48,4,,,,
161324888.5,97251653.71,63984784.39,53876710.97,52270732.04,49557068.01,49031618.51,4,,,,
253074863.3,271505320.8,154000907.7,106563158.6,83670739.87,54846736.97,47728162.23,2,,,,
257953180.1,236149060.3,143583304.3,98471027.43,82325082.36,60448997.33,55478132.56,2,,,,
461154703.7,288706375.9,106809551.4,80042120.28,66454184.89,52364474.22,49359725.42,1,,,,
411466859,185591260.9,86378398.48,66390044.51,55237797.02,50041797.84,49439139.88,1,,,,
292060122.6,224548702.9,151034164.8,111257372,91690241.03,68896335.01,62946588.48,3,,,,
286413291.3,200653438.9,130739289.8,94033717.8,66406173.38,52386305.19,47083885.54,3,,,,
247400345.9,140086722.3,96705049.03,72917190.49,60947585.47,55070665.28,52003341.39,4,,,,
268562921.7,148352237.8,100555944.5,77146713.35,64935574.38,58291041.16,55717933.78,4,,,,
488172651.1,576287294.6,307603888,210201848.7,150697263.6,104012027,74113373.99,2,,,,
435690510,498416304.2,258278343.3,170841571.5,106505610.4,74136189.32,58366643.5,2,,,,
308036654,214535229.1,132025915.3,100620283,77340464.68,64492709.44,57222315.76,1,,,,
379223747.1,213721322.4,130838517.9,88647952.27,70943082.71,60178716.64,54520285.12,1,,,,
249614525.5,215153274.2,109433015.1,75412651.24,58059180.15,49652360.41,47501826.85,3,,,,
304942174.8,230288856.6,105633353.8,78980865.69,62217002.13,55291425.68,52322960.43,3,,,,
315400487.3,242615930.6,109858080.7,79316685.23,62086135.36,54463257.77,50501737.11,4,,,,
410721123,312257676.6,121116411.3,88428445.46,73456132.76,64348150.07,58846698.21,4,,,,
391347909.5,606563739.6,238246122.4,128703160.6,88051819.92,70566418.13,60394425.58,2,,,,
390182888.9,686170766,252527032.1,127638337.6,88407996,71207090.64,59820265.6,2,,,,
543461420.1,469209732.4,179153799.5,116661628.6,78938855.81,58889116.68,48165137.32,1,,,,
452745704.2,446592241.7,190793885,128913587.4,94046202,66550961.63,57321669.04,1,,,,
227443906.2,288524793.1,190243729.8,127804368.3,86778281.94,68382623.77,60997933.67,3,,,,
190543632.5,240813604.7,139735356.1,104935130.9,80971780.41,67743479.24,62708310.61,3,,,,
124470269.7,116150048.6,96735754.78,84819249.38,69494653,59712672.29,58371210.38,4,,,,
174198194.4,188604089.5,117766084.9,99338389.17,75333348.09,65490372.42,61729356.2,4,,,,
319806353.3,521058449.8,322410847.2,233290768.2,146714894.6,113023451.7,88573655.65,2,,,,
276668596.3,359373347.3,206829198.4,154929859.7,106263561.7,80229330.06,68977630.99,2,,,,
162246556.1,189416912.8,119209091.8,105406976.5,78277231.69,64996042.31,60463050.16,1,,,,
173569387.4,175539155.5,115405552.7,110178387.3,72110433.95,64178583.49,59529789.6,1,,,,
152347671.4,199545487.6,145946962.1,113123207,77755491.43,66458153.8,58249355.9,3,,,,
132492052.7,170195385.3,133294406,102676659.1,77842459.34,64622803.09,59400356.15,3,,,,
182886416.5,135826271.6,94772628.24,74091737.63,66400362.67,60801031.23,61011210.99,4,,,,
153392034.5,115203761,77617139.12,67949894.02,59982898.52,58405190.41,55796503.65,4,,,,
405583736.3,543449132,407918158.5,266431007.7,188061282.7,129291585.7,101568102.2,2,,,,
383779050,495753135.9,397657435.2,258237896.4,170458803.1,129491406,97067941.87,2,,,,
161775613.8,169718432.8,95696991.31,81601298.47,65633802.86,59575864.63,57955304.34,1,,,,
133376652.9,110335601.8,79618452.43,66087115.99,62250270.36,57029096.84,57842331.31,1,,,,
100625174.6,84041582.55,66795617.77,58579424.32,55991966.17,53010442.55,52292702.95,3,,,,
103326845.5,83985920.69,64169139.18,59355002.32,57762250.08,56110512.42,54593067.48,3,,,,
101946855.9,88952530.86,65361172.25,60415179.36,57029059.13,57077416.43,54973008.51,4,,,,
69700695.02,69867261.62,59696436,54667842.02,52497929.38,50943392.15,50346010.09,4,,,,
268356701.6,346422226.3,208937401.9,136023195.7,96969434.21,74262161.86,61728749.11,2,,,,
183280975.8,349625211.6,220370679.5,141738045.3,96521612,78935135.89,64887096.4,2,,,,
90000418.57,95782690.3,73414044.92,63698434.57,55814705.44,55167007.84,54490751.55,1,,,,
137418886.9,111713552.8,76789659.26,64791092.8,60034318.55,54370466.8,55808598.66,1,,,,
204837257.9,147615639.9,99467760.46,82100303.91,67844096.11,65023970.77,61487210.73,3,,,,
170435656.7,133289062,91351904.92,81667117.94,67292141.99,62194738.52,61498923.22,3,,,,
203351391.4,184521790.3,92649548.26,80301029.07,73821331.36,69545261.76,69424560.55,4,,,,
150998359,171827791.5,87736913.3,70283214.28,59340424.63,55329017.9,55138038.83,4,,,,
240194775.7,343037252.8,184011893,130044687,108946272.8,71228351.44,60054303.78,2,,,,
269789480.9,463727434.4,302058987,166943076.6,131296239.6,91533759.32,64959769.65,2,,,,
210352632.3,327350844.9,197326495.6,145481997.7,119671144.1,77551868.1,63284708.05,1,,,,
255040094.7,380009310.9,246650757.6,150821202.4,130925051.1,90218543.81,72777208.77,1,,,,
254162524.2,402968790.2,248797629.4,154515971.2,130501124.3,89076026.47,71391087.99,3,,,,
223663654.6,312056557.4,172834619,122924907.4,97603673.23,70787086.37,61797562.19,3,,,,
103393618.8,119522832.3,88675910.64,75929323.25,63459238.67,59534604.95,57588692.19,4,,,,
114677803,134537377.2,102707213.5,84776381.27,70352337.65,58710223.76,54634839.27,4,,,,
297913000.6,425894364.4,248943494.2,149632034.1,104184780.2,77202004.03,62245244.88,2,,,,
327139027.3,509391541.7,343978810.5,219128422.1,141610256,94904515.92,77875571.73,2,,,,
209297916.3,308577251.8,191963389.2,127135853.2,101090641.9,74035112.98,63260297.2,1,,,,
295111230.3,458926003.8,322155007.8,195628566.3,128006105.4,95281592,76711094.91,1,,,,
