FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,target
216810268.6566474,437866864.4748374,408980349.8157627,292190906.99168,183993985.35701352,133879690.12601823,99937094.0282302,arriba
180828028.45064837,329086478.82351756,278850171.05046666,192937388.8452146,116454702.09917548,86844998.05064058,75436800.64975694,arriba
111009377.13609609,90834215.45477524,74211937.29221517,68799112.55484208,67307789.74681345,66128905.05426021,66170962.10156948,abajo
96921722.27744819,82780839.12516114,69885659.50542116,66877568.72100278,63724819.11844185,62397210.32594015,64025034.942653894,abajo
121139041.26743491,92102444.62861902,70703081.74259296,67644540.61311318,65193864.43456304,63407551.51862323,64656217.48905988,adentro
148739158.12640446,123644218.68373524,74866634.86143951,65317514.32015242,60434973.87661393,57645713.41511714,57355920.107068844,adentro
267205578.84907,318613267.00824785,154473639.63438028,141288487.37130228,104917594.04045793,79927195.32814968,69731756.84020407,afuera
193739127.91509464,282186628.56258595,175179522.30624232,117249270.28480653,97681884.0593149,79587997.92661075,69456169.59954071,
193739127.91509464,282186628.56258595,175179522.30624232,117249270.28480653,97681884.0593149,79587997.92661075,69456169.59954071,afuera
207241905.64255452,198934072.65438983,97211509.37757042,86844052.87542698,75555558.84396932,68685024.9641507,64415904.62105343,arriba
183748876.65845248,225339003.83984065,107538383.43849793,102589169.91033417,75417060.7431728,62161899.47247113,60979230.208492905,arriba
109433118.57090902,172377934.24451408,142246705.5370566,103427977.96031034,85643342.88045447,77090043.51949129,67452275.58279264,abajo
100208754.69154082,144540360.05342826,115429565.05282515,86436535.9012894,76206176.41314766,68104116.0076263,64320166.806422815,abajo
131379679.74933948,163482460.9366848,122452981.05531013,88599256.21828473,80503297.21296023,74349139.62667441,66966694.404393286,adentro
125008924.01521605,167828067.45579565,117168500.70170403,85764310.19274604,76433152.75272205,70295205.22721267,64377196.39629872,adentro
153988477.47498378,281294300.3224771,216931107.51099154,155549761.55615473,115697556.6100519,88653558.7880348,76289827.97226411,afuera
127932870.7434016,218744765.73872313,172554997.95427474,127326756.78316356,99505644.64845315,81511438.91420215,69830514.64241727,afuera
98509445.030331,146287628.98177567,118780192.1624223,87533075.80530071,77329612.71799004,71752106.13910721,66665826.103579484,arriba
91142421.80181007,124791361.31484205,105449873.19261394,78632906.05185911,75073877.0126442,70369244.52924895,66292849.50889999,arriba
78438481.352599,77007702.84990837,71807643.1769447,69839935.31288534,68469159.09884894,66259119.32193394,69784217.46277997,abajo
80765475.19924045,83813740.09849575,76199585.13794881,75740131.02628782,74022367.95770979,71176216.73708004,73870603.30375206,abajo
90030450.45725116,88649628.45963949,77125280.05051902,75289932.53448185,74295445.94079685,73072951.35477483,73707303.85760105,adentro
85692797.25565666,86487641.61036822,73539096.8605468,74389966.4626715,71393783.45694274,70479344.05983043,68804846.98635498,adentro
136469451.07051352,202050494.35490906,158553557.47421724,102320895.31844929,87338101.41169944,80733644.04877168,79325335.72990018,afuera
109798247.41965094,136105645.23292038,97130517.67194313,77221115.94030446,72405107.18341415,69884515.7418052,66873314.76873659,afuera
91936719.4078112,93747182.39288099,79426291.10700466,76131060.68320788,76780376.78285137,77851344.35795711,74283098.60968393,arriba
80273467.02887379,80576691.4003964,67735528.87194948,66201720.97885311,64731310.62188834,66168134.31298465,63150573.01122947,arriba
127670796.8345257,209286576.39464286,170017783.34290212,113724379.33152135,93078989.88666625,78652616.8397626,66521244.76385155,abajo
135656497.90814078,237083383.39044645,171183519.54995796,121921092.17951322,98929243.36702603,77632306.32852888,67582746.86328314,abajo
118143591.57770464,166016795.4046348,121962753.26885375,95445562.01716393,83155169.02930343,73618607.9008663,67762987.01570423,adentro
105301860.78596616,143921270.3153202,99215500.34868687,82525343.47128704,73857548.31867702,67035878.235710904,62181413.98089584,adentro
162762376.14104095,391750736.24870896,425811942.8549906,356144634.95828,249814877.22703272,150959514.7626756,110221827.99944013,afuera
182419740.36062512,414254467.26140356,464729199.5285741,392401941.83915585,264433587.13335502,155513110.288247,120247043.45006207,afuera
117791171.87444876,182922497.12233564,130222489.40378612,93877724.48336917,82356242.26938716,70654464.33101355,65767638.52785422,arriba
114306276.13586247,173334983.04405534,122121746.79056095,94259441.40744881,79907975.85865861,65700446.34202983,62353383.95117886,arriba
169486667.9925959,244551313.7502349,158553512.86015296,114950206.61400427,84515966.36570396,71560617.68925312,64140760.112439096,abajo
177410911.8516302,252552739.87218016,170769271.8603607,109907275.09959735,84503482.5826103,70218166.99198383,62406802.01065767,abajo
159626585.38439506,173395431.86046317,99895801.40017289,81662502.76274979,69625666.37688068,63339593.39026954,60079257.20969337,adentro
159772501.83110872,177083787.53552687,98965341.05776393,79483642.34665677,66561145.61796909,59863724.58638963,55835738.382966325,adentro
260839529.3384136,459125318.5728904,321452181.58818555,194859681.44738436,156600099.90323022,108532598.23251764,83324671.17346172,afuera
259045822.7059348,504445546.60435545,318118343.55862665,204797519.74598777,162556474.45571923,104782760.52773732,84593468.99298337,afuera
189605288.14239413,278641442.323448,163811815.24974465,114733346.77052298,85873475.42672604,69638559.02389848,62728614.36438201,arriba
194819115.46684372,284464584.82751036,160933962.62153345,107456079.42945293,80525990.82949933,65404137.24721343,58592343.8869414,arriba
117259072.51062307,89273491.36082596,63428269.77849157,57220000.58392811,52543921.17986411,51248373.11351618,49434215.75938493,abajo
124875530.86796728,79289854.46777259,58191387.269538365,54035321.61066157,50455808.96460016,50306937.544824734,48007273.06752606,abajo
158858270.47852224,73921790.26694158,58409275.77750082,54377437.7873465,51593147.83599707,49267395.24586301,47313007.23556565,adentro
105122539.54501677,81432787.69501075,61757605.5247985,53128606.21333352,50193047.825589225,49217241.62070246,47874283.97607477,adentro
172183853.5044776,128565206.83769687,95994240.43255985,78456075.46940395,69404114.66254428,58213563.066750795,51736742.524947554,afuera
195017615.6373252,159846875.2829129,114062076.60678142,88577804.4470034,70477552.61005595,58106572.723625906,54627244.331377804,afuera
202768897.2789626,125016573.57650332,70964037.76059109,61621992.62184293,55831026.916965276,52478055.6093079,52034041.128273144,arriba
160035177.01119262,105388185.34051248,59723249.8218502,54731910.57231449,50193306.03047499,49808683.62718415,49515618.404490426,arriba
131711347.62032628,80584161.77344272,61564410.193264544,58412875.45993857,54431367.64271411,54312467.67569863,54414738.78213766,abajo
220824543.52063006,126840855.54773024,63014097.632731035,54955443.45029298,49165166.239323445,47547992.70021258,45989575.07838037,abajo
162011232.32336444,132098366.73046088,66138766.12974985,56436826.519789144,51042529.71775215,49050824.97968231,48343142.48337334,adentro
161324888.46580002,97251653.71218824,63984784.387458324,53876710.97093747,52270732.04346934,49557068.00586404,49031618.513037175,adentro
253074863.33985388,271505320.80244046,154000907.74466237,106563158.63644093,83670739.8740296,54846736.96842088,47728162.227192275,afuera
257953180.12745768,236149060.3188781,143583304.31618625,98471027.43184485,82325082.35822204,60448997.33194194,55478132.5630648,afuera
461154703.70223624,288706375.85328716,106809551.35483792,80042120.28115255,66454184.8899178,52364474.21916374,49359725.418784626,arriba
411466859.04257685,185591260.94178036,86378398.48198327,66390044.50528343,55237797.023784555,50041797.84089404,49439139.88115333,arriba
292060122.5573969,224548702.94053227,151034164.828654,111257372.01001349,91690241.0294066,68896335.0109137,62946588.479719184,abajo
286413291.2686635,200653438.92911702,130739289.80480725,94033717.79665369,66406173.38161748,52386305.194106475,47083885.53636764,abajo
247400345.90453297,140086722.3312801,96705049.02796435,72917190.48953882,60947585.46689005,55070665.2783013,52003341.39039962,adentro
268562921.65284944,148352237.76232728,100555944.54086813,77146713.34763487,64935574.37790353,58291041.159690484,55717933.78243267,adentro
488172651.1142664,576287294.5964518,307603888.048654,210201848.66616732,150697263.61093158,104012026.95322326,74113373.99123217,afuera
435690509.9870323,498416304.2308015,258278343.30283862,170841571.53315175,106505610.43770303,74136189.31774202,58366643.50478035,afuera
308036653.99166346,214535229.05194214,132025915.34370643,100620282.99708672,77340464.67564452,64492709.443477094,57222315.75736235,arriba
379223747.1318402,213721322.3891245,130838517.87373902,88647952.26593044,70943082.70908065,60178716.635889836,54520285.11544853,arriba
249614525.5267374,215153274.22474545,109433015.08338358,75412651.23520967,58059180.145750366,49652360.41211596,47501826.84692841,abajo
304942174.7511365,230288856.61692625,105633353.83268103,78980865.69148599,62217002.12784809,55291425.67861746,52322960.43351582,abajo
315400487.25470966,242615930.5925115,109858080.73633136,79316685.2323857,62086135.35704549,54463257.76818241,50501737.11174661,adentro
410721123.01707876,312257676.6012145,121116411.31295331,88428445.45945685,73456132.75531125,64348150.06583159,58846698.21310919,adentro
391347909.4583169,606563739.5975878,238246122.40032524,128703160.6304052,88051819.9195303,70566418.13458748,60394425.576402746,afuera
390182888.8816219,686170765.9918749,252527032.14508662,127638337.58812839,88407996.0006173,71207090.6442849,59820265.60066594,afuera
543461420.145369,469209732.44629127,179153799.47303578,116661628.58601864,78938855.81094909,58889116.67735053,48165137.318262,arriba
452745704.2220886,446592241.6784298,190793885.0339641,128913587.40796927,94046201.99661374,66550961.62957753,57321669.03812748,arriba
227443906.1858151,288524793.09612364,190243729.81526792,127804368.3379898,86778281.94045605,68382623.7682502,60997933.66868865,abajo
190543632.54293084,240813604.74851227,139735356.08926582,104935130.94062227,80971780.40670198,67743479.2445989,62708310.606661774,abajo
124470269.7242437,116150048.58147494,96735754.77879544,84819249.37763952,69494652.99670671,59712672.29375267,58371210.37999936,adentro
174198194.41607934,188604089.50995958,117766084.85365328,99338389.17232771,75333348.09231782,65490372.4181366,61729356.19930162,adentro
319806353.3034035,521058449.81479615,322410847.2020036,233290768.2207436,146714894.58499473,113023451.73822507,88573655.65164258,afuera
276668596.29765683,359373347.2539886,206829198.36209095,154929859.74908647,106263561.65470423,80229330.05813268,68977630.98874173,afuera
162246556.11202765,189416912.80902654,119209091.78853045,105406976.46652378,78277231.69410345,64996042.31485714,60463050.15606746,arriba
173569387.42771024,175539155.54067427,115405552.73976389,110178387.3277986,72110433.94811867,64178583.48853226,59529789.59972356,arriba
152347671.35371393,199545487.59335792,145946962.1434449,113123206.9765188,77755491.42766315,66458153.804636866,58249355.903430074,abajo
132492052.73697597,170195385.2808566,133294406.01416168,102676659.10984991,77842459.33525127,64622803.0850475,59400356.147387095,abajo
182886416.48091716,135826271.55550015,94772628.23905045,74091737.63228807,66400362.67070807,60801031.225761995,61011210.99130833,adentro
153392034.51506773,115203760.95467544,77617139.11705461,67949894.01664563,59982898.52015011,58405190.40597808,55796503.651932694,adentro
